hashtag,unique_tweets_per_hour,retweets_per_hour,views_per_hour
food,129,92,"755,933"
recipes,21,12,"94,312"
eating,4,8,"38,612"
recipe,58,17,"740,862"
cook,8,0,"316,279"
cooking,46,25,"84,904"
restaurant,12,0,"59,108"
vegan,58,38,"164,596"
foodporn,46,4,"44,779"
foodie,50,33,"406,346"
yum,4,8,"119,483"
breakfast,21,8,"111,117"
chicken,12,0,"1,725"
lunch,21,4,"210,754"
foodgasm,4,0,542
homemade,25,21,"6,671"
love,479,233,"1,529,942"
ramen,8,13,"66,442"
foodies,12,9,"12,862"
chef,4,0,425
pizza,12,9,"1,792"
bacon,4,4,"3,775"
pancakes,4,13,"19,125"
dessert,8,4,"273,000"
burger,8,9,904
home,88,45,"9,520,358"
nomnomnom,4,0,4
delivery,17,0,"33,904"
course,17,8,"69,996"
kitchen,4,4,4
cookingshow,4,0,408
dinner,29,4,"256,400"
