hashtag,unique_tweets_per_hour,retweets_per_hour,views_per_hour
food,267,141,1066800
recipes,42,12,642983
eating,8,4,2629
recipe,50,8,732642
cook,12,5,3121
cooking,71,21,124212
restaurant,21,17,6700
vegan,88,79,236225
foodporn,38,12,85254
foodie,88,50,537529
yum,12,5,35321
breakfast,46,0,49304
chicken,12,5,2400
lunch,29,4,228317
foodgasm,4,0,29
homemade,33,17,98929
love,625,246,1520450
ramen,17,4,67508
foodies,38,8,56717
chef,21,0,53396
pizza,42,16,535983
bacon,4,8,2221
dessert,12,0,50596
burger,21,4,5096
home,108,71,9578742
delivery,4,4,0
course,8,0,16450
kitchen,21,4,35821
dinner,42,0,158008
pancakes,0,4,0
nomnomnom,4,0,4783
cookingshow,4,0,17
